"Key"	"English"	"Welsh"	Added.
"checkYourAnswers.title"	"Check your answers before sending your information"	"Gwiriwch eich atebion cyn anfon eich gwybodaeth"	Added.
"checkYourAnswers.amend.title"	"Check your additional information"	"Gwriwch eich gwybodaeth ychwanegol"	Added.
"checkYourAnswers.heading"	"Check Your Answers"	"Gwiriwch eich atebion"	Added.
"checkYourAnswers.guidance"	"Guidance for check your answers"		Added.
"checkYourAnswers.missing.icon"	"Warning"	"Rhybudd"	Added.
"checkYourAnswers.missing.warning"	"Some information is missing. This must be completed before sending your application."	"Mae rhywfaint o wybodaeth ar goll. Rhaid llenwi hyn cyn anfon eich cais."	Added.
"checkYourAnswers.missing.subheading"	"Some information is missing"	"Mae rhywfaint o wybodaeth ar goll"	Added.
"checkYourAnswers.missing.paragraph"	"Please review your answers above and complete any missing information. Alternatively, you can use the button below."	"Edrychwch dros eich atebion uchod ac ychwanegwch unrhyw wybodaeth sydd ar goll. Fel arall, gallwch ddefnyddio’r botwm isod."	Added.
"checkYourAnswers.missing.resolve.link"	"Resolve missing answers"	"Datrys yr atebion sydd ar goll"	Added.
"checkYourAnswers.missing.resolve"	"Resolve missing answers"	"Datrys yr atebion sydd ar goll"	Added.
"checkYourAnswers.submit.heading"	"Send your application"	"Anfon eich cais"	Added.
"checkYourAnswers.submit.before.send"	"Before you send your application, ensure that you have fully reviewed the information you have provided and that it is correct."	"Cyn i chi anfon eich cais, gwnewch yn siŵr eich bod wedi adolygu’r holl wybodaeth rydych wedi’i rhoi a’i bod yn gywir."	Added.
"checkYourAnswers.submit.print"	"You can print a summary of your application on the next page."	"Gallwch argraffu crynodeb o’ch cais ar y dudalen nesaf."	Added.
"site.switchLanguage"	"Newid yr iaith i’r Gymraeg"	"Change the language to English"	Added.
"date.day"	"Day"	"Diwrnod"	Added.
"date.month"	"Month"	"Mis"	Added.
"date.year"	"Year"	"Blwyddyn"	Added.
"error.browser.title.prefix"	"Error:"	"Gwall:"	Added.
"error.boolean"	"Please give an answer"	"Rhowch ateb"	Added.
"error.invalid_date"	"Give a correct date"	"Rhowch ddyddiad cywir"	Added.
"error.integer"	"Give an answer in whole numbers"	"Rhowch ateb mewn rhifau cyfain"	Added.
"error.non_numeric"	"Give a value using only numbers"	"Rhowch werth gan ddefnyddio rhifau yn unig"	Added.
"error.number"	"Please enter a valid number"	"Nodwch rif dilys"	Added.
"error.required"	"Please enter a value"	"Nodwch werth"	Added.
"error.summary.title"	"There is a problem"	"Mae problem wedi codi"	Added.
"index.title"	"Apply for repayment of import duty and import VAT"	"Gwneud cais am ad-daliad o dollau mewnforio a TAW mewnforio"	Added.
"index.heading"	"Apply for repayment of import duty and import VAT"	"Gwneud cais am ad-daliad o dollau mewnforio a TAW mewnforio"	Added.
"index.guidance"	"Welcome to your new frontend. Please see the README file for a guide to getting started."		Added.
"session_expired.title"	"For your security, we signed you out"	"Er eich diogelwch, gwnaethom eich allgofnodi"	Added.
"session_expired.heading"	"For your security, we signed you out"	"Er eich diogelwch, gwnaethom eich allgofnodi"	Added.
"session_expired.guidance"	"We did not save your answers."	"Ni wnaethom gadw’ch atebion."	Added.
"session_expired.button"	"Sign in"	"Mewngofnodi"	Added.
"timeout.title"	"For your security, we will sign you out"	"Er eich diogelwch, byddwn yn eich allgofnodi"	Added.
"timeout.message"	"For your security, we will sign you out in $"	"Er eich diogelwch, byddwn yn eich allgofnodi ymhen $"	Added.
"timeout.keepAlive"	"Stay signed in"	"Parhau i fod wedi’ch mewngofnodi"	Added.
"timeout.signOut"	"Sign out"	"Allgofnodi"	Added.
"site.back"	"Back"	"Yn ôl"	Added.
"site.delete"	"Remove"	"Tynnu"	Added.
"site.edit"	"Change"	"Newid"	Added.
"site.hidden-delete"	"Delete {0}"	"Dileu {0}"	Added.
"site.hidden-edit"	"Change {0}"	"Newid {0}"	Added.
"site.no"	"No"	"Na"	Added.
"site.yes"	"Yes"	"Iawn"	Added.
"site.continue"	"Continue"	"Yn eich blaen"	Added.
"find.address"	"Find address"	"Dod o hyd i gyfeiriad"	Added.
"site.service_name"	"Apply for repayment of import duty and import VAT"	"Gwneud cais am ad-daliad o dollau mewnforio a TAW mewnforio"	Added.
"site.textarea.char_limit"	"(Limit is {0} characters)"	"(Y terfyn yw {0} o gymeriadau)"	Added.
"site.govuk"	"GOV.UK"	"GOV.UK/CYMRAEG"	Added.
"footer.cookies"	"Cookies"	"Cwcis"	Added.
"footer.privacy"	"Privacy policy"	"Polisi preifatrwydd"	Added.
"footer.termsConditions"	"Terms and conditions"	"Telerau ac amodau"	Added.
"footer.govukHelp"	"Help using GOV.UK"	"Help wrth ddefnyddio GOV.UK"	Added.
"footer.accessibilityStatement"	"Accessibility statement"	"Datganiad hygyrchedd"	Added.
"unauthorised.title"	"You can’t access this service with this account"	"Ni allwch ddefnyddio’r gwasanaeth hwn gyda’r cyfrif hwn"	Added.
"unauthorised.heading"	"You can’t access this service with this account"	"Ni allwch ddefnyddio’r gwasanaeth hwn gyda’r cyfrif hwn"	Added.
"importerHasEori.title"	"Do you have an EORI number?"	"A oes gennych rif EORI?"	Added.
"importerHasEori.heading"	"Do you have an EORI number?"	"A oes gennych rif EORI?"	Added.
"importerHasEori.checkYourAnswersLabel"	"Do you have an EORI number?"	"A oes gennych rif EORI?"	Added.
"importerHasEori.error.required"	"Select yes if you have an EORI number"	"Dewiswch ‘Iawn’ os oes gennych rif EORI"	Added.
"claimantType.title"	"Are you the importer or their representative?"	"Ai’r mewnforiwr neu gynrychiolydd y mewnforiwr ydych chi?"	Added.
"claimantType.heading"	"Are you the importer or their representative?"	"Ai’r mewnforiwr neu gynrychiolydd y mewnforiwr ydych chi?"	Added.
"claimantType.01"	"I am the importer"	"Y mewnforiwr ydw i"	Added.
"claimantType.02"	"I am a representative of the importer"	"Cynrychiolydd y mewnforiwr ydw i"	Added.
"claimantType.checkYourAnswersLabel"	"Are you the importer or representative?"	"Ai’r mewnforiwr neu’r cynrychiolydd ydych chi?"	Added.
"claimantType.error.required"	"Select if you are the importer or a representative of the importer"	"Dewiswch ai chi yw’r mewnforiwr neu gynrychiolydd y mewnforiwr"	Added.
"claimantType.importer"	"Importer"	"Mewnforiwr"	Added.
"claimantType.representative"	"Representative"	"Cynrychiolydd"	Added.
"impInfo.checkYourAnswersLabel"	"Import information"	"Gwybodaeth fewnforio"	Added.
"importerEori.title"	"What is your EORI number?"	"Beth yw’ch rhif EORI?"	Added.
"importerEori.heading"	"What is your EORI number?"	"Beth yw’ch rhif EORI?"	Added.
"importerEori.checkYourAnswersLabel"	"Your EORI number"	"Eich rhif EORI"	Added.
"importerEori.error.invalid"	"Enter your EORI number"	"Nodwch eich rhif EORI"	Added.
"isVATRegistered.title"	"Are you VAT registered?"	"A ydych wedi’ch cofrestru ar gyfer TAW?"	Added.
"isVATRegistered.heading"	"Are you VAT registered?"	"A ydych wedi’ch cofrestru ar gyfer TAW?"	Added.
"isVATRegistered.01"	"Yes"	"Iawn"	Added.
"isVATRegistered.02"	"No"	"Na"	Added.
"isVATRegistered.checkYourAnswersLabel"	"Are you VAT registered?"	"A ydych wedi’ch cofrestru ar gyfer TAW?"	Added.
"isVATRegistered.error.required"	"Select yes if you are VAT registered"	"Dewiswch ‘Iawn’ os ydych wedi’ch cofrestru ar gyfer TAW"	Added.
"isVATRegistered.details.header"	"Help with VAT registration"	"Help gyda chofrestru ar gyfer TAW"	Added.
"isVATRegistered.details.p1"	"You must register your business for VAT with HMRC if its VAT taxable turnover is over the current VAT registration threshold."	"Mae’n rhaid i chi gofrestru’ch busnes ar gyfer TAW gyda CThEM os yw ei drosiant trethadwy TAW dros y trothwy cofrestru TAW presennol."	Added.
"isVATRegistered.details.p2"	"You can register voluntarily if your turnover is under the threshold, unless everything you sell is exempt."	"Gallwch gofrestru’n wirfoddol os yw’ch trosiant o dan y trothwy, oni bai bod popeth yr ydych yn ei werthu wedi’i eithrio."	Added.
"importerClaimantVrn.title"	"What is your VRN number?"	"Beth yw’ch Rhif Cofrestru TAW (VRN)?"	Added.
"importerClaimantVrn.heading"	"What is your VRN number?"	"Beth yw’ch Rhif Cofrestru TAW (VRN)?"	Added.
"importerClaimantVrn.checkYourAnswersLabel"	"What is your VRN number?"	"Beth yw’ch Rhif Cofrestru TAW (VRN)?"	Added.
"importerClaimantVrn.error.required"	"Enter your VRN number"	"Nodwch eich rhif VRN"	Added.
"importerClaimantVrn.error.length"	"VRN number must be 9 characters or less"	"Mae’n rhaid i’r rhif VRN fod yn 9 o gymeriadau neu lai"	Added.
"customsRegulationType.title"	"What was the entry acceptance date?"	"Beth oedd y dyddiad derbyn ar gyfer y cofnod?"	Added.
"customsRegulationType.heading"	"What was the entry acceptance date?"	"Beth oedd y dyddiad derbyn ar gyfer y cofnod?"	Added.
