Key	English	Welsh
checkYourAnswers.title	Check your answers before sending your information	Gwiriwch eich atebion cyn anfon eich gwybodaeth
checkYourAnswers.amend.title	Check your additional information	Gwriwch eich gwybodaeth ychwanegol
checkYourAnswers.heading	Check Your Answers	Gwiriwch eich atebion
checkYourAnswers.guidance	Guidance for check your answers	
checkYourAnswers.missing.icon	Warning	Rhybudd
checkYourAnswers.missing.warning	Some information is missing. This must be completed before sending your application.	Mae rhywfaint o wybodaeth ar goll. Rhaid llenwi hyn cyn anfon eich cais.
checkYourAnswers.missing.subheading	Some information is missing	Mae rhywfaint o wybodaeth ar goll
checkYourAnswers.missing.paragraph	Please review your answers above and complete any missing information. Alternatively, you can use the button below.	Edrychwch dros eich atebion uchod ac ychwanegwch unrhyw wybodaeth sydd ar goll. Fel arall, gallwch ddefnyddio’r botwm isod.
checkYourAnswers.missing.resolve.link	Resolve missing answers	Datrys yr atebion sydd ar goll
checkYourAnswers.missing.resolve	Resolve missing answers	Datrys yr atebion sydd ar goll
checkYourAnswers.submit.heading	Send your application	Anfon eich cais
checkYourAnswers.submit.before.send	Before you send your application, ensure that you have fully reviewed the information you have provided and that it is correct.	Cyn i chi anfon eich cais, gwnewch yn siŵr eich bod wedi adolygu’r holl wybodaeth rydych wedi’i rhoi a’i bod yn gywir.
checkYourAnswers.submit.print	You can print a summary of your application on the next page.	Gallwch argraffu crynodeb o’ch cais ar y dudalen nesaf.
site.switchLanguage	Newid yr iaith i’r Gymraeg	Change the language to English
date.day	Day	Diwrnod
date.month	Month	Mis
date.year	Year	Blwyddyn
error.browser.title.prefix	Error:	Gwall:
error.boolean	Please give an answer	Rhowch ateb
error.invalid_date	Give a correct date	Rhowch ddyddiad cywir
error.integer	Give an answer in whole numbers	Rhowch ateb mewn rhifau cyfain
error.non_numeric	Give a value using only numbers	Rhowch werth gan ddefnyddio rhifau yn unig
error.number	Please enter a valid number	Nodwch rif dilys
error.required	Please enter a value	Nodwch werth
error.summary.title	There is a problem	Mae problem wedi codi
