"Key"	"English"	"Welsh"	"Comments"
"claimReason.documents.airway_bill"	"an <b>airway bill</b> or <b>bill of lading</b> that show shipping details"		"Message changed (previous message was: <b>Airway bill</b> or <b>bill of lading</b> that show shipping details / <b>Bil teithrestr awyr</b> neu <b>bil llwytho</b>, sy’n dangos y manylion cludo)"
"claimReason.documents.c88"	"the <b>C88</b>, which authorises imports from the country of origin"		"Message changed (previous message was: <b>C88</b>, which authorises imports from the country of origin / <b>C88</b>, sy’n awdurdodi mewnforion o’r wlad wreiddiol)"
"claimReason.documents.commercial_invoice"	"a <b>commercial invoice</b>, which shows the value of the goods"		"Message changed (previous message was: <b>Commercial invoice</b>, which shows the value of the goods / <b>Anfoneb fasnachol</b>, sy’n dangos gwerth y nwyddau)"
"claimReason.documents.e2"	"the <b>E2</b>, which confirms your import entry has been logged by HMRC"		"Message changed (previous message was: <b>E2</b>, which authorises imports from the country of origin / <b>E2</b>, sy’n awdurdodi mewnforion o’r wlad wreiddiol)"
"claimReason.documents.proof_of_origin"	"<b>proof of origin documents</b>, such as a GSP certificate"		"Message changed (previous message was: <b>Proof of origin documents</b>, such as a GSP certificate / <b>Dogfennau tystiolaeth o darddiad</b>, megis tystysgrif GSP)"
"claimReason.documents.substitute_entry"	"a <b>substitute entry</b>, which shows changes made to the original entry"		"Message changed (previous message was: <b>Substitute entry</b>, which shows changes made to the original entry / <b>Cofnod cyfnewid</b>, sy’n dangos newidiadau a wnaed i’r cofnod gwreiddiol)"
"claimantType.title"	"Are you the importer?"		"Message changed (previous message was: Are you the importer or their representative? / Ai’r mewnforiwr neu gynrychiolydd y mewnforiwr ydych chi?)"
"claimantType.heading"	"Are you the importer?"		"Message changed (previous message was: Are you the importer or their representative? / Ai’r mewnforiwr neu gynrychiolydd y mewnforiwr ydych chi?)"
"checkYourAnswers.title"	"Check your answers before sending your application"		"Message changed (previous message was: Check your answers before sending your information / Gwiriwch eich atebion cyn anfon eich gwybodaeth)"
"furtherInformation.error.required"	"Enter the additional information"		"Message changed (previous message was: Enter the further information / Nodwch yr wybodaeth bellach)"
"bankDetails.title"	"Enter your bank details"		"Message changed (previous message was: Enter UK bank details / Nodwch fanylion banc yn y DU)"
"bankDetails.name.hint"	"Enter the name as it appears on your bank statement."		"Message changed (previous message was: Enter your name as it appears on your bank statement. / Nodwch eich enw fel y mae’n ymddangos ar eich cyfriflen banc)"
"claimReason.documents.evidence_of_corrected_invoice"	"evidence of corrected invoice"		"Message changed (previous message was: Evidence of corrected invoice / Tystiolaeth o anfoneb wedi’i chywiro)"
"claimReason.documents.evidence_of_export"	"evidence of the original export"		"Message changed (previous message was: Evidence of the original export / Tystiolaeth o’r allforio gwreiddiol)"
"claimReason.documents.currency_charge_evicence"	"evidence that the invoice has been corrected in another currency"		"Message changed (previous message was: Evidence that the invoice has been corrected in another currency / Tystiolaeth bod yr anfoneb wedi’i chywiro mewn arian cyfred arall)"
"furtherInformation.error.length"	"Additional information must be 1400 characters or less"		"Message changed (previous message was: Further information must be 1400 characters or less / Mae’n rhaid i’r wybodaeth bellach fod yn 1400 o gymeriadau neu lai)"
"furtherInformation.title"	"Add more information to your application"		"Message changed (previous message was: Give us further information / Rhowch wybodaeth bellach i ni)"
"furtherInformation.heading"	"Add more information to your application"		"Message changed (previous message was: Give us further information / Rhowch wybodaeth bellach i ni)"
"claimantType.02"	"No, I am a representative of the importer"		"Message changed (previous message was: I am a representative of the importer / Cynrychiolydd y mewnforiwr ydw i)"
"claimantType.01"	"Yes"		"Message changed (previous message was: I am the importer / Y mewnforiwr ydw i)"
"reasonForOverpayment.hint"	"Provide as much information as possible. This will help us to process your application faster."		"Message changed (previous message was: If you do not provide enough information, we may be unable to process your application. / Os na fyddwch yn rhoi digon o wybodaeth, mae’n bosibl na fyddwn yn gallu prosesu’ch cais.)"
"amend.application.closed.p2"	"If you feel we closed this application in error you can email us at {0} with the additional information."		"Message changed (previous message was: If you feel this application has been closed in error, you can email us at {0} with the additional information. / Os ydych yn teimlo bod y cais hwn wedi cael ei gau drwy gamgymeriad, gallwch anfon e-bost atom yn {0} gyda’r wybodaeth ychwanegol.)"
"impInfo.checkYourAnswersLabel"	"Important information"		"Message changed (previous message was: Import information / Gwybodaeth fewnforio)"
"numberOfEntriesType.02.hint"	"Multiple entries must all be from the same importer, involve the same reasons for the application and be from before 1 January 2021 or from that date onwards."		"Message changed (previous message was: Number of entries / Nifer y cofnodion)"
"claimReason.documents.proof_of_return"	"proof of return"		"Message changed (previous message was: Proof of return / Prawf o ddychwelyd)"
"claimReason.documents.proof_of_quota"	"proof of the quota and commodity codes that are being claimed against"		"Message changed (previous message was: Proof of the quota and commodity codes that are being claimed against / Tystiolaeth o’r cwota a’r codau nwyddau y gwneir hawliad yn eu herbyn)"
"evidenceSupportingDocs.title"	"Documents we need from you"		"Message changed (previous message was: Required supporting documents / Dogfennau ategol angenrheidiol)"
"evidenceSupportingDocs.heading"	"Documents we need from you"		"Message changed (previous message was: Required supporting documents / Dogfennau ategol angenrheidiol)"
"claimantType.error.required"	"Confirm if you are the importer or their representative"		"Message changed (previous message was: Select if you are the importer or a representative of the importer / Dewiswch ai chi yw’r mewnforiwr neu gynrychiolydd y mewnforiwr)"
"claimReasonType.error.required"	"Select the main reason for making an application"		"Message changed (previous message was: Select what your application relates to / Dewiswch beth mae’ch cais yn ymwneud ag ef)"
"whomToPay.error.required"	"Select who you want HMRC to repay"		"Message changed (previous message was: Select who you want to send the repayment to / Dewiswch at bwy yr hoffech anfon yr ad-daliad)"
"furtherInformation.hintText"	"This may be information that HMRC has asked for, information you choose to add or a request to cancel your application."		"Message changed (previous message was: Send the information that HMRC has asked for. / Anfonwch yr wybodaeth y mae CThEM wedi gofyn amdani.)"
"entryDetails.importer.hint"	"You can find these on the E2 or C88 documents. If you’re unsure, you can speak to your shipping agent or courier."		"Message changed (previous message was: These can be found in box 1 of the C88 document, or by asking your shipping agent or courier. / Gellir dod o hyd i’r rhain ym mlwch 1 yn y ddogfen C88, neu drwy ofyn i’ch asiant cludo neu’ch cludwr amdanynt)"
"entryDetails.representative.hint"	"You can find these on the E2 or C88 documents."		"Message changed (previous message was: These can be found on the C88 document. / Gellir dod o hyd i’r rhain yn y ddogfen C88.)"
"enterAgentEORI.hint"	"This has 2 letters, followed by either 12 or 15 numbers. For example, GB123456789123 or GB123456789123000."		"Message changed (previous message was: This is 2 letters, followed by either 12 or 15 numbers, like ‘GB123456789123’ or ‘GB123456789123000’. / Mae hyn yn 2 lythyren, wedi’u dilyn gan naill ai 12 neu 15 rhif, fel ‘GB123456789123’ neu ‘GB123456789123000’.)"
"claimReasonType.title"	"What is the main reason for making an application?"		"Message changed (previous message was: What does your application relate to? / Beth mae’ch cais yn ymwneud ag ef?)"
"claimReasonType.heading"	"What is the main reason for making an application?"		"Message changed (previous message was: What does your application relate to? / Beth mae’ch cais yn ymwneud ag ef?)"
"whomToPay.title"	"Who do you want HMRC to repay?"		"Message changed (previous message was: Who is to be repaid? / Pwy sydd i’w ad-dalu?)"
"whomToPay.heading"	"Who do you want HMRC to repay?"		"Message changed (previous message was: Who is to be repaid? / Pwy sydd i’w ad-dalu?)"
"numberOfEntriesType.02.label"	"Number of entries"		"No Welsh translation found"
"claimReasonType.multiple.title"	"Why are you making an application?"		"No Welsh translation found"
"claimReasonType.multiple.heading"	"Why are you making an application?"		"No Welsh translation found"
"claimReasonType.multiple.hintText"	"Select all that apply"		"No Welsh translation found"
"claimReasonType.multiple.error.required"	"Select why you are making an application"		"No Welsh translation found"
